symbol,timestamp,open,high,low,close,volume
SPY,2026-04-02T15:00:00-04:00,654.4600,654.8500,654.3900,654.5300,433586
SPY,2026-04-02T15:05:00-04:00,654.5300,654.9100,654.5000,654.8300,427402
SPY,2026-04-02T15:10:00-04:00,654.8500,655.2700,654.6400,654.7300,539132
SPY,2026-04-02T15:15:00-04:00,654.7400,654.8600,654.2800,654.5401,623866
SPY,2026-04-02T15:20:00-04:00,654.5450,654.8500,654.1400,654.4500,2124081
SPY,2026-04-02T15:25:00-04:00,654.4500,654.4900,654.1300,654.3799,463039
SPY,2026-04-02T15:30:00-04:00,654.3700,654.6200,654.0900,654.3100,445079
SPY,2026-04-02T15:35:00-04:00,654.2901,654.7800,654.2800,654.7600,492285
SPY,2026-04-02T15:40:00-04:00,654.7500,655.0100,654.3590,654.3890,564221
SPY,2026-04-02T15:45:00-04:00,654.3900,654.6600,654.1800,654.5900,778658
SPY,2026-04-02T15:50:00-04:00,654.6100,655.6100,654.6000,655.4700,1852755
SPY,2026-04-02T15:55:00-04:00,655.4612,656.1000,655.3500,655.8800,3831162
SPY,2026-04-06T09:30:00-04:00,655.8600,657.4200,655.8000,657.3700,2579032
SPY,2026-04-06T09:35:00-04:00,657.3600,657.9100,655.5200,656.5952,956946
SPY,2026-04-06T09:40:00-04:00,656.5600,657.2900,655.8900,656.7550,593564
SPY,2026-04-06T09:45:00-04:00,656.7600,657.8400,656.6900,657.0800,553723
SPY,2026-04-06T09:50:00-04:00,657.1000,657.9500,656.8600,657.5750,512242
SPY,2026-04-06T09:55:00-04:00,657.6100,658.5500,657.2800,658.5300,406501
SPY,2026-04-06T10:00:00-04:00,657.9300,659.7200,656.3400,656.4400,996129
SPY,2026-04-06T10:05:00-04:00,656.4100,657.2200,656.0300,657.1651,826907
SPY,2026-04-06T10:10:00-04:00,657.1600,658.1150,656.4200,658.0600,554697
SPY,2026-04-06T10:15:00-04:00,658.0800,658.5400,657.5800,658.2850,598174
SPY,2026-04-06T10:20:00-04:00,658.2800,658.9800,658.2600,658.6301,385918
SPY,2026-04-06T10:25:00-04:00,658.6700,658.7900,658.1600,658.3700,346483
SPY,2026-04-06T10:30:00-04:00,658.4300,659.0600,658.2400,658.4500,418981
SPY,2026-04-06T10:35:00-04:00,658.4700,658.8800,656.7715,657.1000,994120
SPY,2026-04-06T10:40:00-04:00,657.0800,658.3400,657.0100,657.6800,581137
SPY,2026-04-06T10:45:00-04:00,657.6600,657.6700,656.6200,656.7757,375107
SPY,2026-04-06T10:50:00-04:00,656.8100,657.5900,656.7600,657.3200,428466
SPY,2026-04-06T10:55:00-04:00,657.3400,657.9050,656.9900,657.4900,328373
SPY,2026-04-06T11:00:00-04:00,657.5100,658.0400,657.0900,657.5400,300141
SPY,2026-04-06T11:05:00-04:00,657.5400,657.8300,657.0900,657.7400,471884
SPY,2026-04-06T11:10:00-04:00,657.7300,657.7400,657.0400,657.4901,307709
SPY,2026-04-06T11:15:00-04:00,657.5200,657.7100,657.1400,657.3455,221942
SPY,2026-04-06T11:20:00-04:00,657.3600,657.5700,656.9150,657.0300,199325
SPY,2026-04-06T11:25:00-04:00,657.0200,657.2000,656.6600,656.9250,240086
SPY,2026-04-06T11:30:00-04:00,656.9300,657.0650,656.3800,656.8900,292973
SPY,2026-04-06T11:35:00-04:00,656.9000,657.1300,656.3400,656.9750,298831
SPY,2026-04-06T11:40:00-04:00,656.9700,657.1812,656.7100,657.1000,178011
SPY,2026-04-06T11:45:00-04:00,657.0900,657.6000,656.9250,657.4699,227334
SPY,2026-04-06T11:50:00-04:00,657.4700,657.9700,657.2600,657.8800,323719
